City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
11,Yarada,IN,mist,80.92,17.65,83.2667,Yarada Jungle Beach Resorts
12,Bathsheba,BB,scattered clouds,86.61,13.2167,-59.5167,Atlantis Hotel
13,Atuona,PF,clear sky,77.65,-9.8,-139.0333,Villa Enata
14,Funadhoo,MV,broken clouds,81.66,6.15,73.2667,Dhaffalhu Tourist Lodge
15,Albany,US,overcast clouds,83.35,42.6001,-73.9662,
17,Nalut,LY,clear sky,87.8,30.3333,10.85,
18,Iralaya,HN,broken clouds,82.8,15.0,-83.2333,Iglesia morava renovada
33,Bubaque,GW,overcast clouds,79.61,11.2833,-15.8333,"Casa Dora, Bubaque"
35,Kapaa,US,few clouds,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Myingyan,MM,broken clouds,87.37,21.4667,95.3833,Yamethin
40,Bonoua,CI,broken clouds,78.42,5.2741,-3.595,Hotel Bon Samaritian
41,Hilo,US,scattered clouds,87.28,19.7297,-155.09,Hilo Hawaiian Hotel
42,Torbat-E Jam,IR,broken clouds,83.62,35.244,60.6225,White building
45,Avarua,CK,scattered clouds,77.05,-21.2078,-159.775,Paradise Inn
46,Samana,DO,broken clouds,84.42,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
49,Urumqi,CN,clear sky,77.95,43.801,87.6005,Hua Ling Grand Hotel Urumqi
51,Hami,CN,scattered clouds,82.92,42.8,93.45,Laoyutang Resort
53,Mandih,PH,overcast clouds,77.29,8.2087,123.0141,La Roche Sindangan Zamboanga del Norte Philippine
54,Jamestown,US,broken clouds,75.72,42.097,-79.2353,Hampton Inn & Suites Jamestown
55,Acapulco,MX,overcast clouds,84.6,16.8634,-99.8901,HS Hotsson Smart Acapulco
57,Davila,PH,overcast clouds,80.62,18.4726,120.5763,Blue Ridge Beach Resort
62,La Asuncion,VE,overcast clouds,87.53,11.0333,-63.8628,Colinas de Matasiete
64,Jalu,LY,clear sky,84.81,29.0331,21.5482,صاحبة الفخامة
65,Butaritari,KI,light rain,81.37,3.0707,172.7902,Isles Sunset Lodge
66,Broome,US,overcast clouds,84.0,42.2506,-75.833,Chenango Valley State Park
75,Puerto Ayora,EC,overcast clouds,80.56,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,Vaini,TO,few clouds,75.36,-21.2,-175.2,Keleti Beach Resort
81,Ribeira Grande,PT,broken clouds,77.4,38.5167,-28.7,Quinta da Meia Eira
85,Glace Bay,CA,scattered clouds,82.85,46.1969,-59.957,Cedarwoods Bed & Breakfast
87,Wucheng,CN,broken clouds,76.78,29.6008,118.175,Xiuwu Restaurant
90,Bethel,US,overcast clouds,86.18,41.3712,-73.414,Courtyard by Marriott Danbury
97,Hasaki,JP,overcast clouds,79.29,35.7333,140.8333,Inubosaki Kanko Hotel
98,Ituiutaba,BR,clear sky,76.78,-18.9689,-49.465,Bernal Hotel
103,Carutapera,BR,scattered clouds,78.62,-1.195,-46.02,Lidera
106,Victoria,HK,clear sky,86.32,22.2855,114.1577,Mini Central
107,Kavaratti,IN,overcast clouds,80.82,10.5669,72.642,Green leaf
110,Oneonta,US,overcast clouds,83.3,42.4529,-75.0638,Hampton Inn Oneonta
112,Salalah,OM,overcast clouds,75.52,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Shelburne,CA,broken clouds,77.45,44.0787,-80.2041,The Retreat at the Farm
117,Westport,US,overcast clouds,86.09,41.1415,-73.3579,The Westport Inn
118,Pombia,IT,clear sky,80.4,45.653,8.6336,Albergo Fontana
121,Waingapu,ID,few clouds,75.58,-9.6567,120.2641,Pondok Wisata Elim
124,Alofi,NU,broken clouds,75.09,-19.0595,-169.9187,Taloa Heights
125,Oranjestad,AW,few clouds,82.35,12.524,-70.027,Divi Village Golf & Beach Resort
127,Waddan,LY,clear sky,86.0,29.1614,16.139,محل الشريف محمد العايب
130,Merauke,ID,overcast clouds,76.86,-8.4667,140.3333,
131,Praia,CV,scattered clouds,81.14,14.9215,-23.5087,LT Aparthotel
132,Kahului,US,clear sky,84.97,20.8947,-156.47,Maui Seaside Hotel
133,Sinnamary,GF,broken clouds,80.28,5.3833,-52.95,ALETHEIA Appartement Sinnamary
136,Palmer,US,overcast clouds,85.55,42.1584,-72.3287,Wedgewood Motel
140,Sindou,BF,broken clouds,76.41,10.6667,-5.1667,LERABA HOTEL
143,Acarau,BR,broken clouds,79.41,-2.8856,-40.12,castelo pizzaria
153,Panaba,MX,moderate rain,79.12,21.2833,-88.2667,Hotel Don Fernando
154,Nishihara,JP,light rain,81.68,26.1842,127.7558,Minshuku Agaihama
155,Nanakuli,US,overcast clouds,84.11,21.3906,-158.1547,Camp Pālehua
162,Yanam,IN,overcast clouds,78.31,16.7333,82.2167,The Regency Hotel
166,Coahuayana,MX,overcast clouds,86.61,18.7333,-103.6833,El rranchito michuacan de ocampos
168,Kavieng,PG,broken clouds,82.38,-2.5744,150.7967,Nusa Island Retreat
171,Bandarbeyla,SO,clear sky,76.37,9.4942,50.8122,JABIR HOTEL
172,Clifton,US,broken clouds,86.85,40.8584,-74.1638,Quality Urban Housing
175,Lompoc,US,clear sky,87.69,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
176,Hithadhoo,MV,light rain,81.93,-0.6,73.0833,Scoop Guest House
180,Changanacheri,IN,overcast clouds,76.93,9.4667,76.55,Contour Backwaters Hotel Resort & Convention Centre
181,Labuhan,ID,scattered clouds,75.6,-6.8844,112.2051,DoubleFAG
185,Ankara,TR,clear sky,77.2,39.9199,32.8543,Ramada by Wyndham Ankara
186,Zhanaozen,KZ,light rain,80.73,43.3,52.8,K.korabay 28A
187,Hirara,JP,few clouds,84.76,24.8,125.2833,Hotel Atoll Emerald Miyakojima
188,Darnah,LY,clear sky,78.69,32.767,22.6367,فندق الفردوس
190,Ikeda,JP,broken clouds,80.92,34.8221,135.4298,Masumisou
192,Tarragona,ES,clear sky,80.31,41.129,1.249,Hotel SB Ciutat de Tarragona
193,Zhicheng,CN,broken clouds,75.02,30.2956,111.5047,Wangjiang Building
195,Sakaiminato,JP,broken clouds,78.15,35.55,133.2333,Italian pasley
196,Tual,ID,scattered clouds,78.8,-5.6667,132.75,Grand Vilia Hotel
199,Harper,LR,overcast clouds,75.34,4.375,-7.7169,Screensaver
201,North Platte,US,broken clouds,86.11,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
206,Georgetown,MY,few clouds,80.53,5.4112,100.3354,Cititel Penang
207,Bengkulu,ID,broken clouds,75.47,-3.8004,102.2655,Grage Hotel Bengkulu
212,Padang,ID,overcast clouds,77.23,-0.9492,100.3543,Mercure Padang
213,Hoa Binh,VN,broken clouds,76.35,20.8133,105.3383,Hoa Dao Hotel
216,Weligama,LK,overcast clouds,75.42,5.9667,80.4167,Weligama Bay Resort
219,Meulaboh,ID,overcast clouds,75.06,4.1363,96.1285,Kost Pria
222,Fort Thomas,US,overcast clouds,85.82,39.0751,-84.4472,"Holiday Inn Express & Suites Cincinnati SE Newport, an IHG Hotel"
223,Faanui,PF,light rain,79.07,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
226,Cozumel,MX,overcast clouds,82.99,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
229,Oeiras,BR,few clouds,87.19,-7.0253,-42.1311,Hotel SESC Oeiras
230,Kochi,IN,light rain,77.02,9.9399,76.2602,Trident Hotel Cochin
232,Fare,PF,light rain,78.96,-16.7,-151.0167,Maitai Lapita Village Huahine
242,Rochester,US,overcast clouds,84.58,43.1548,-77.6156,Hyatt Regency Rochester
