City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,31.07,few clouds
1,Hermanus,ZA,-34.4187,19.2345,53.06,84,0,11.07,clear sky
2,Caravelas,BR,-17.7125,-39.2481,69.8,80,5,4.25,clear sky
3,Olafsvik,IS,64.8945,-23.7142,50.94,80,81,21.21,broken clouds
4,Busselton,AU,-33.65,115.3333,51.37,72,3,6.35,clear sky
5,Vao,NC,-22.6667,167.4833,69.1,71,43,10.54,scattered clouds
6,Mahebourg,MU,-20.4081,57.7,70.25,83,40,11.5,scattered clouds
7,Whitianga,NZ,-36.8333,175.7,58.68,89,86,16.22,overcast clouds
8,Betare Oya,CM,5.6,14.0833,66.94,97,100,2.84,light rain
9,Bluff,NZ,-46.6,168.3333,47.8,87,100,11.77,overcast clouds
10,Tuatapere,NZ,-46.1333,167.6833,44.02,96,100,0.6,light rain
11,Yarada,IN,17.65,83.2667,80.92,94,40,2.3,mist
12,Bathsheba,BB,13.2167,-59.5167,86.61,90,40,18.41,scattered clouds
13,Atuona,PF,-9.8,-139.0333,77.65,64,0,20.65,clear sky
14,Funadhoo,MV,6.15,73.2667,81.66,75,73,16.04,broken clouds
15,Albany,US,42.6001,-73.9662,83.35,49,98,2.77,overcast clouds
16,Dillon,US,34.4166,-79.3712,96.26,28,98,11.77,overcast clouds
17,Nalut,LY,30.3333,10.85,87.8,15,0,11.99,clear sky
18,Iralaya,HN,15.0,-83.2333,82.8,72,52,8.63,broken clouds
19,Bredasdorp,ZA,-34.5322,20.0403,50.13,91,0,5.12,clear sky
20,Podporozhye,RU,60.9112,34.1706,60.53,90,99,2.8,overcast clouds
21,Metro,ID,-5.1131,105.3067,74.71,90,100,3.6,overcast clouds
22,Tiksi,RU,71.6872,128.8694,57.87,77,43,5.7,scattered clouds
23,Grindavik,IS,63.8424,-22.4338,53.55,100,100,23.02,mist
24,Kruisfontein,ZA,-34.0033,24.7314,49.89,87,47,3.42,scattered clouds
25,Saint-Philippe,RE,-21.3585,55.7679,66.22,75,6,7.09,clear sky
26,San Rafael,AR,-34.6177,-68.3301,50.34,63,100,8.84,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,38.32,89,84,3.06,broken clouds
28,Sitka,US,57.0531,-135.33,67.86,54,15,6.64,few clouds
29,Upernavik,GL,72.7868,-56.1549,40.19,84,100,2.89,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,74.19,70,100,15.82,overcast clouds
31,Fairbanks,US,64.8378,-147.7164,58.01,74,80,1.01,broken clouds
32,Hobart,AU,-42.8794,147.3294,44.26,78,40,3.44,scattered clouds
33,Bubaque,GW,11.2833,-15.8333,79.61,79,100,14.18,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,58.12,79,0,8.05,clear sky
35,Kapaa,US,22.0752,-159.319,82.38,70,18,5.01,few clouds
36,Chokurdakh,RU,70.6333,147.9167,52.45,48,99,11.88,overcast clouds
37,Pisco,PE,-13.7,-76.2167,64.45,77,20,10.36,haze
38,Iqaluit,CA,63.7506,-68.5145,58.73,47,40,4.61,scattered clouds
39,Myingyan,MM,21.4667,95.3833,87.37,57,66,5.64,broken clouds
40,Bonoua,CI,5.2741,-3.595,78.42,86,65,8.41,broken clouds
41,Hilo,US,19.7297,-155.09,87.28,97,50,1.01,scattered clouds
42,Torbat-E Jam,IR,35.244,60.6225,83.62,30,64,12.66,broken clouds
43,Kodiak,US,57.79,-152.4072,53.96,77,3,8.28,clear sky
44,Bayan,CN,46.0833,127.4,68.77,85,93,4.97,overcast clouds
45,Avarua,CK,-21.2078,-159.775,77.05,65,40,17.27,scattered clouds
46,Samana,DO,19.2056,-69.3369,84.42,79,75,4.61,broken clouds
47,Souillac,MU,-20.5167,57.5167,70.18,83,40,11.5,scattered clouds
48,Nemuro,JP,43.3236,145.575,61.93,99,100,8.86,overcast clouds
49,Urumqi,CN,43.801,87.6005,77.95,29,0,4.47,clear sky
50,Leningradskiy,RU,69.3833,178.4167,37.85,85,96,3.78,overcast clouds
51,Hami,CN,42.8,93.45,82.92,14,29,10.42,scattered clouds
52,Lebu,CL,-37.6167,-73.65,53.4,77,31,10.94,scattered clouds
53,Mandih,PH,8.2087,123.0141,77.29,91,100,0.51,overcast clouds
54,Jamestown,US,42.097,-79.2353,75.72,66,75,8.05,broken clouds
55,Acapulco,MX,16.8634,-99.8901,84.6,71,100,6.62,overcast clouds
56,Khatanga,RU,71.9667,102.5,61.18,68,100,2.1,overcast clouds
57,Davila,PH,18.4726,120.5763,80.62,81,100,2.3,overcast clouds
58,Faya,SA,18.3851,42.4509,68.11,72,100,5.17,moderate rain
59,New Norfolk,AU,-42.7826,147.0587,43.92,72,75,5.68,broken clouds
60,Bongandanga,CD,1.5,21.05,71.35,95,100,1.61,overcast clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,67,75,25.32,broken clouds
62,La Asuncion,VE,11.0333,-63.8628,87.53,66,92,17.27,overcast clouds
63,Avera,US,33.194,-82.5271,95.05,30,98,8.52,overcast clouds
64,Jalu,LY,29.0331,21.5482,84.81,42,0,16.75,clear sky
65,Butaritari,KI,3.0707,172.7902,81.37,77,3,17.13,light rain
66,Broome,US,42.2506,-75.833,84.0,57,98,5.01,overcast clouds
67,Carnarvon,AU,-24.8667,113.6333,69.21,53,100,1.05,overcast clouds
68,Basoko,CD,1.2391,23.616,72.57,92,95,0.92,light rain
69,Mount Gambier,AU,-37.8333,140.7667,39.11,93,62,1.14,broken clouds
70,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,100,17.27,overcast clouds
71,Severo-Kurilsk,RU,50.6789,156.125,53.83,88,57,5.91,broken clouds
72,Yellowknife,CA,62.456,-114.3525,70.32,56,75,2.3,light intensity shower rain
73,Garmsar,IR,35.2182,52.3409,95.76,19,64,11.07,broken clouds
74,San Vicente,AR,-26.6167,-54.1333,67.71,67,44,1.77,scattered clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,85,5.99,overcast clouds
76,Wasilla,US,61.5814,-149.4394,66.52,54,0,5.01,clear sky
77,Killybegs,IE,54.6333,-8.45,58.71,78,100,4.07,overcast clouds
78,Port Elizabeth,ZA,-33.918,25.5701,58.32,93,0,4.61,clear sky
79,Walvis Bay,NA,-22.9575,14.5053,54.09,93,24,2.3,few clouds
80,Vaini,TO,-21.2,-175.2,75.36,83,20,6.91,few clouds
81,Ribeira Grande,PT,38.5167,-28.7,77.4,78,75,6.91,broken clouds
82,Provideniya,RU,64.3833,-173.3,44.71,93,100,4.47,overcast clouds
83,Xingyi,CN,24.1877,102.817,61.3,91,100,1.3,overcast clouds
84,Ushuaia,AR,-54.8,-68.3,44.26,53,40,3.44,scattered clouds
85,Glace Bay,CA,46.1969,-59.957,82.85,62,40,17.27,scattered clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,73,0,16.11,clear sky
87,Wucheng,CN,29.6008,118.175,76.78,86,61,1.88,broken clouds
88,Tocopilla,CL,-22.092,-70.1979,64.45,72,95,11.32,overcast clouds
89,Flinders,AU,-34.5833,150.8552,54.18,69,0,11.01,clear sky
90,Bethel,US,41.3712,-73.414,86.18,55,100,1.01,overcast clouds
91,College,US,64.8569,-147.8028,57.99,75,80,1.01,broken clouds
92,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,61,20,16.11,few clouds
93,Anadyr,RU,64.75,177.4833,50.5,81,40,6.71,scattered clouds
94,Taoudenni,ML,22.6783,-3.9836,104.11,6,0,18.45,clear sky
95,Barrow,US,71.2906,-156.7887,33.67,98,100,15.9,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,40.41,80,93,7.67,overcast clouds
97,Hasaki,JP,35.7333,140.8333,79.29,90,100,11.18,overcast clouds
98,Ituiutaba,BR,-18.9689,-49.465,76.78,28,0,5.17,clear sky
